2019-01-07 21:09:56.466753: I tensorflow/core/common_runtime/process_util.cc:69] Creating new thread pool with default inter op setting: 2. Tune using inter_op_parallelism_threads for best performance.
Training...

batch 62200: train=0.950000 test=1.000000
batch 62300: train=0.950000 test=1.000000
batch 62400: train=1.000000 test=0.900000
batch 62500: train=0.950000 test=0.900000
batch 62600: train=1.000000 test=0.950000
batch 62700: train=1.000000 test=1.000000
batch 62800: train=1.000000 test=1.000000
batch 62900: train=0.900000 test=0.950000
batch 63000: train=0.950000 test=1.000000
batch 63100: train=0.950000 test=0.950000
batch 63200: train=0.950000 test=0.950000
batch 63300: train=1.000000 test=0.950000
batch 63400: train=1.000000 test=1.000000
batch 63500: train=0.950000 test=0.950000
batch 63600: train=1.000000 test=1.000000
batch 63700: train=0.950000 test=0.950000
batch 63800: train=1.000000 test=0.950000
batch 63900: train=1.000000 test=1.000000
batch 64000: train=0.950000 test=0.900000
batch 64100: train=1.000000 test=1.000000
batch 64200: train=1.000000 test=1.000000
batch 64300: train=1.000000 test=1.000000
batch 64400: train=0.950000 test=0.950000
batch 64500: train=0.950000 test=0.950000
batch 64600: train=1.000000 test=1.000000
batch 64700: train=1.000000 test=1.000000
batch 64800: train=1.000000 test=1.000000
batch 64900: train=0.950000 test=1.000000
batch 65000: train=1.000000 test=0.950000
batch 65100: train=0.950000 test=1.000000
batch 65200: train=1.000000 test=1.000000
batch 65300: train=1.000000 test=0.950000
batch 65400: train=1.000000 test=0.900000
batch 65500: train=1.000000 test=1.000000
batch 65600: train=1.000000 test=1.000000
batch 65700: train=1.000000 test=0.950000
batch 65800: train=1.000000 test=0.950000
batch 65900: train=0.950000 test=1.000000
batch 66000: train=0.950000 test=0.900000
batch 66100: train=0.900000 test=0.950000
batch 66200: train=0.950000 test=1.000000
batch 66300: train=0.950000 test=0.950000
batch 66400: train=1.000000 test=0.950000
batch 66500: train=1.000000 test=1.000000
batch 66600: train=1.000000 test=0.950000
batch 66700: train=1.000000 test=0.950000
batch 66800: train=1.000000 test=1.000000
batch 66900: train=1.000000 test=1.000000
